Country,Wind_2022,Solar_2022,Hydro_2022,OtherRenewables_2022,Wind_2023,Solar_2023,Hydro_2023,OtherRenewables_2023
Ukraine,1.5522,5.19987,11.095296979048866,0.7761,0.9434410000000001,5.7082120000000005,12.711116927454041,1.044
United Kingdom,80.2572,13.2829,5.6401,35.8313,81.98949999999999,13.826500000000001,5.194500000000001,33.99000000000001
Other Europe,2.226077329955399,0.6437505095154178,33.63493928542383,0.36658453526940493,2.3574666285152173,1.1084719621906873,42.37180119139063,0.36250727483335177
Azerbaijan,0.0833,0.0609,1.5957000000000001,0.10265,0.056600000000000004,0.0794,1.7634,0.1115
Belarus,0.1747111984282908,0.2087,0.37,0.5208,0.1717406679764244,0.15330000000000002,0.3,0.5075000000000001
Kazakhstan,2.31184,1.7724578999999998,9.201193400000001,0.0029497,3.6528068420881876,1.9576028896699929,8.793510775765814,0.004500698
Russian Federation,4.20105,2.39864,197.66654999999997,0.841799,4.747359,2.634875,200.86565900000002,0.849581294
Turkmenistan,0,0.00696,0.00315,0,0,0.00696,0.00315,0
Uzbekistan,0,0.18402100000000002,5.313,0,0,0.319021,6.9972,0
Other CIS,0.1408,0.56154375,34.0585,0.029,0.17296446568201565,0.8236546929569267,34.27892859,0.029
Iran,1.2465588031211816,0.6908413455593627,14.004,0.028209914185639232,1.3299907651195555,0.7621184849317112,22.653000000000002,0.028209914185639232
Iraq,0,0.42224713884992987,2.650656,0,0,0.42224713884992987,3.3878062,0
Israel,0.18996646207999998,6.083600000000001,0.023479537919999998,0.103054,0.44093132941504587,7.512670042644694,0.023244245503999998,0.103054
Kuwait,0.03504,0.144056875,0,0,0.03504,0.1292615,0,0
Oman,0.11511300000000001,1.44303,0,0,0.11511300000000001,1.480477598723227,0,0
Qatar,0,0.2713076712328768,0,0.134388,0,1.3203640000000003,0,0.134388
Saudi Arabia,1.45,0.8313614106083433,0,0,1.45,4.319243515320673,0,0
United Arab Emirates,4.4999999999999996e-05,7.743356572,0,0.0127974,0.053950954,13.748377774378046,0,0.033218783
Other Middle East,1.7540065555555555,6.0983217377560255,1.4731,0.021042622950819677,1.676624266160363,6.212622046161841,1.5162081579868163,0.021038196552844893
Algeria,0.016,0.649,0.016,0,0.016,0.649,0.06878,0
Egypt,5.513219515925366,5.386780484074636,13.2871865,0,5.7368818346042225,5.244259604601733,13.824719699999998,0
Morocco,5.355878628999999,1.4477472099999997,0.35021179226000004,0,6.545676311999999,2.1106727000000003,0.16276278000000022,0
South Africa,9.700000000000001,6.199999999999999,3.1000000000000005,0.4097,11.576709000000001,6.402801,1.6853999999999996,0.4097
Eastern Africa,2.821260067050505,1.6693740031150803,79.58981832897061,7.269321698186197,2.607320249545752,1.9165184594142963,82.13132099076411,8.531950183943243
Middle Africa,0.0089,0.4623052583077861,32.753868288787196,0.117076,0.0089,0.6019130470334638,33.70847128305342,0.11107600000000001
Western Africa,0.6020390850000001,1.2323822766847012,25.60101134937421,0.31451613855737703,0.9919435108891038,1.3920734525202016,27.97382621826776,0.3151161385573771
Other Northern Africa,0.32180000000000003,0.32689675,0.0149,0,0.338,0.3910337114156262,0.0092,0
Other Southern Africa,0,0.406521,1.5436999999999999,0.3215,0,0.4889528818040435,2.08074,0.3359
Australia,30.0503,37.544096999999994,16.660758988769533,3.1865859999999997,31.867912,44.994346,15.26116598876953,3.125683
Bangladesh,0.005081,0.8659920000000001,0.775026537,0.00386,0.016582540000000003,1.2683123922114952,0.683570674,0.00386
China,762.67,427.27,1298.12201,182.525225,885.87,584.15,1225.9955000000002,198.125225
China Hong Kong SAR,0.000828892,0.23329253102023265,0,0.11199127346812139,0.000828892,0.2413088057603759,0,0.12089558299237992
India,70.04516475,95.15808483,174.93547017414667,38.56700042,82.10639144,113.40933554341684,149.16726016103777,37.281591890058536
Indonesia,0.356,0.44373,27.295,37.298,0.481,0.71287,24.59,39.4105
Japan,9.415497559797606,91.07080732984265,74.86830105,37.82990886697349,10.008989425161701,96.99363524433095,74.4993321,42.04524783526581
Malaysia,0,2.7520000000000002,31.783924189317023,1.2340000000000002,0,3.2384,31.505791874390432,1.2340000000000002
New Zealand,2.865512163522778,0.28081334413002024,26.27620607992717,9.196881719020519,3.2284958998246105,0.3758953365342548,26.508505828842164,8.946376101523601
Pakistan,4.641718939238109,0.8455621197819009,34.49908806641985,0.964883426,4.380760557260282,1.2329454445622865,37.39162972332839,0.6800945523976256
Philippines,1.0527529244237486,1.828364171,10.128012227424263,11.746648,1.2947323640192316,2.5097266792182755,10.179987623107955,11.752530630523008
Singapore,0,0.6672404536045924,0,0.9693053900535785,0,0.9318029123103226,0,0.8369079606722073
South Korea,3.369457625,30.726259595000002,3.5411789537060003,17.847911269500003,3.389796367,29.368571563567002,3.71642292,19.246602474724998
Sri Lanka,0.7323913205207687,1.421547360658683,6.872957872340426,0.16280000000000003,0.7759860419803383,1.7169161981654164,5.8594400354609935,0.16280000000000003
Taiwan,3.577476256,10.67698789,5.836502663999999,1.9831935550000002,6.201348835,12.908689677999998,3.963277695,1.9456262149999999
Thailand,2.988,5.026,6.598821000000001,13.862090556990003,3.6083003533568903,5.420992818342217,6.588214,14.149405534630894
Vietnam,9.091,25.750000000000004,95.91,0.378,11.367,25.702,80.90400000000001,0.853
Other Asia Pacific,0.5393595568852458,2.002980301337231,92.96517452580274,0.6703157716435887,0.5662415175728157,2.571178144311934,91.40906438135805,0.6805757716435887
