Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Venezuela,43.7415935844183,44.034360781312,45.994828723371,48.9523281492293,49.1021847724915,49.3614501841366,49.5425721891224,52.2862809821963,59.6767381951213,60.8316411972046,62.7073209621012,66.1901855058968,73.9136005491018,75.1877741888165,83.1524115502834,95.3675021529198,99.2197231203318,99.8414246812463,98.3736378327012,98.4707241691649,99.9917755499482,105.754640191793,101.248085808009,103.632034954615,106.408249881119,112.202721506357,106.240030296147,117.544155178592,114.736099962145,124.904761211947,128.17358553037,119.371844145469,127.154595340602,126.543775457889,122.012185942382,129.899360645562,143.041273031384,144.665056135505,125.999821081758,138.116089981049,140.429164571222,156.127789780032,164.424173444044,169.717014590278,173.937709960621,170.32522360119,177.955558024347,188.532966921106,186.123188339174,181.738133193925,172.056074857712,159.151413157582,149.905758082867,123.798852480948,111.328128620982,77.7340414039791,93.6047817245126,104.669709347188,120.847465910017
Central America,10.397008868269,10.7148508976243,11.1552530261106,11.5062532303564,11.9655733475374,12.4216770385829,12.8946815731761,13.6797919871169,15.0625890149531,15.9952563722036,17.902254782297,18.7096556892066,19.923418328457,20.1486902076867,20.3861113344028,19.0640256577753,18.4868547474616,18.4375520189642,18.1319487619039,18.3963374239975,18.7582628685923,18.713831625093,20.1073727749754,19.5257428395853,20.3254549896228,21.0535505897715,23.0626431331038,26.2694381590118,28.0903355882692,30.7638235788327,34.0387247776307,33.369236764298,35.9544956290993,41.4218858943204,40.7416240546736,42.1885386211798,45.4404554450084,46.2026307469932,48.1162250283523,49.6014374363585,48.9955758357955,51.8790400691141,54.2334078728163,55.2580474478891,53.9061002180206,55.0976138610531,57.0349761141417,58.6487922800006,60.0956799766864,61.8311681593113,68.7033415097493,71.608060152982,72.1405517424137,72.9024417796172,80.7375810282283,63.6650409924478,72.3536248708624,75.0268476734345,81.041361690186
Other Caribbean,48.6850355314673,50.1523269111276,52.2343879753316,53.3407312038835,56.424306328925,70.2458540220978,71.3827873279442,76.455626467141,84.5173209220957,83.6960999859875,81.0309284600226,82.3282979649521,86.668820054867,88.3349052233534,91.0087747381986,91.8279290582686,93.5233425008773,82.9385528467683,80.8500345707944,85.2545218101586,79.3273025777598,80.9851435422534,84.7017056904697,84.7595959966457,89.2037616029957,88.8707109149327,84.5431292444518,82.904931197533,84.2622597468624,88.9683709584574,86.9263854279161,88.2530092382778,93.7428777100649,96.9718050380288,90.4217916807138,112.018316875073,122.953398046064,121.791470836266,125.676403926254,127.383157352288,128.765110441025,132.408705992525,129.430077921717,118.289558576484,112.629661010668,112.539670578147,112.385759927901,108.31167780554,103.762700564486,105.485755047969,110.001710067181,112.800301356627,109.599715794488,112.051474983864,111.470739055339,101.170626170368,101.396731368844,101.005888226623,106.948931528289
Other South America,9.94305667842855,9.7950516569108,10.1175616472319,10.2465402640082,11.0291385111632,11.3156483615894,11.5995043118455,12.3442351917256,12.5715997355801,12.1967735644721,13.5401468484051,14.0251026826008,14.4029492803675,16.0688681389001,16.6678667367087,16.0171593269988,16.0058125464275,14.7672624878978,13.2146286494681,12.8505414842512,12.7965581981116,12.7082430242008,12.9963960744208,14.3258513457549,14.7707061890687,14.1045781950234,15.3266516716249,16.3314372324967,17.105372480175,17.9144944159198,20.5574863185175,21.3785889950814,21.1862234329456,21.677889914019,23.8242586796405,21.2046874422304,20.1847562155017,20.2132809197938,21.100657557512,22.6147406965356,23.2965784243424,24.0918938886389,26.366432318131,29.7523739011613,30.5524842480663,30.6585397018716,33.4358963928607,33.9549492960796,34.677293724669,35.2309757586936,35.6075453530066,37.3179725973901,38.218768924112,39.3675251319837,39.9864056918327,35.925462029435,41.4031390151986,42.6233360220585,43.7949734248859
Austria,39.5291782319546,39.8190968632698,40.1120296120644,43.0120203495026,46.052562057972,51.1515012430609,53.8256702470244,54.9173854040564,58.253887598461,55.5760375904501,53.5947480844916,58.4090922796458,54.1181511604518,56.8974069073156,59.3857686999545,58.1652195561037,54.8234290588007,52.1818132656917,51.6644499856338,53.5461319885508,54.6176120448217,54.133121259074,55.0726761496917,53.5596851087466,53.8253253824369,58.2711543510959,62.5692041027651,57.4061615797982,58.103599428694,58.2676825658709,61.579384724173,65.3632799140469,64.7912217462726,65.9660159661726,63.9741667541966,64.4525386146561,68.3875561273017,69.2809391408518,74.1927752709307,74.4668217321741,75.854292633092,73.2526722466428,70.3820096774871,70.3382868189801,63.4848829014663,68.3853260120377,65.5485322472523,62.4772522813873,62.7644076415454,59.0479395580478,61.5708080728655,62.0914814467542,64.498953026603,62.3371209456236,63.7979081332451,56.1853353874758,59.2803139925963,56.3394382950137,53.7995421816158
Belgium,124.712856009603,118.475941471756,123.429548718035,135.096056267619,144.444750439376,148.98690963164,142.065120350569,149.259746840224,147.142297374085,141.365466270596,126.049347144319,132.048829466105,131.608554888517,136.810020065866,142.242497678846,136.063248286955,129.38558749482,121.934922773391,109.25615417934,113.188957901672,114.228745359695,113.723191647325,115.214757340262,117.188596190419,119.750293199904,126.497669132426,130.7295908425,128.07084864378,126.065438730409,129.578454667702,128.92873125081,137.192246154649,135.914013238158,139.857707066694,133.263417835347,136.288176130969,136.339131545741,134.152004702948,141.249127525836,140.075043035671,136.186704708845,138.200201897183,137.742290878901,139.130068090744,124.645490248688,133.508226697333,120.61142017087,116.276083732722,117.338575215312,109.00983659178,115.22151762573,116.903016039636,118.832854359876,125.484002386685,121.789644516073,105.270405742573,113.911580211716,109.682130211324,103.275734482566
Bulgaria,36.7442125827074,39.2106651421636,45.2278642766178,51.0113423485309,55.7474800869823,62.3625747300684,64.5729353372008,66.6299846172333,68.6370477899909,69.8614354729652,75.1336772292852,75.9236478954554,78.4369312077761,82.0952772498131,84.9223415702581,89.1367149949074,85.4654906988144,87.0462779402733,85.9801213741302,85.0110331177711,84.8766351938248,87.8935843408108,87.7604970037937,86.5511713027954,86.7920742332935,74.3941347226501,59.9177448649425,58.2841942464001,60.418979617767,56.8564203367569,58.930591998389,56.9231265622657,56.1768631271552,53.9162919151131,46.1017296251375,43.4405156162102,46.3863520130981,44.5906336042099,48.4050585557707,46.4725823723711,48.3162583559752,49.1989879098255,52.5285017278511,50.1493992148899,43.3988713216968,45.5169268492609,50.4695247481577,45.8269844888709,40.7441452792846,43.1745456396602,45.881173891481,43.1391380727291,45.8731355592608,42.6706374813803,41.50397939299,36.0831083956291,41.955228486519,46.3991836548739,35.5001136967876
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2780810352415,14.799315164797,14.5026477975771,15.1674721688032,14.4566463655792,15.1190198343247,15.5348419491202,16.618281332776,17.9895895281807,18.5833317595534,17.4757259571925,18.4265954284929,19.5214778808877,20.8577329153195,20.1271825956646,20.6392438348848,20.6776482926216,21.8760076145409,20.9386316894088,19.6183635857888,18.846811640542,18.2048744782805,16.6210504511837,16.1106016947888,15.8243315371219,16.2426876308164,16.6875268484,17.1403096828144,16.3143065662589,16.2974814458285,14.9341563485796,15.6795033139642,15.9660839337157,15.9578797837021
Cyprus,1.2138395011425,1.34554040431976,1.464236572152,1.63106682873331,1.92265785578638,2.0436866665259,2.40204021055251,2.7420118721202,2.91870547644794,2.39597785845399,2.08354677818716,2.12158368341625,2.50313037447631,2.62309721065685,2.65694447560236,2.68539396999404,2.54292197525501,3.07458005845547,3.22491262853146,3.2299133092165,3.57322369329631,3.69895487651229,4.58815836720169,4.66847645491362,4.74238153547049,4.97018722724169,5.13932559918612,6.03914141189307,6.27754587586969,6.30860784929246,6.7428391193971,6.84658894967288,6.87375216465443,7.22512038331479,7.59081457834691,7.97593213897198,8.09013615082949,7.94556958507746,8.49319411348552,8.27733526285738,9.31671868544072,9.14211027277634,9.32207530690357,9.48236639378592,9.18095720885321,8.83989816484973,8.70295503688976,8.13505252404138,7.25213464302942,7.32507383078337,7.49776334688067,8.11264062824193,8.30900665093213,8.23003216460347,8.1891923956573,6.99108840897679,7.24536652490497,7.68382227420807,7.64855252206326
Czech Republic,156.201489638537,156.969636283815,153.764332005754,160.378977283835,167.23532929644,172.497356057167,180.951306372881,180.694853164256,180.628272652626,181.365995742381,188.127398848534,193.70360326767,199.191267132759,201.49170589447,202.563346877694,195.177166908979,194.292564973235,191.791309520602,191.540256530046,195.820274367929,193.922222778201,191.965843394399,190.639915883541,190.935731217265,184.932313099504,155.329375982285,143.210462659597,136.63615231216,134.087922543287,128.639054097235,130.180631184019,132.8777120905,127.159323984757,121.648513793014,113.924122574739,124.096755480394,125.08851008676,120.781002328731,123.997049966361,124.843768234365,123.425633841194,125.969200634398,125.55381245818,120.326195302652,113.531410358381,116.523322118912,113.073950331192,109.310672136489,104.980042932555,101.973591434769,102.773063716013,104.811865242431,104.789161681663,103.765569495037,98.2271285764873,88.4314754437655,92.850052902475,91.9139960017055,82.884306143038
